fold_id,validation_year,strategy,metric,block_length_sessions,repetitions,valid_repetitions,interval_status,seed,estimate_bootstrap_mean,ci_95_lower,ci_95_upper,primary_ci
WF_2023,2023,ALWAYS_LONG,accuracy,20,2000,2000,DEFINED,20262829,0.5010659877,0.478035913,0.5222435568,False
WF_2023,2023,ALWAYS_LONG,mean_session_net_usd,20,2000,2000,DEFINED,20262829,-20.44231158,-37.84736,-3.044806,False
WF_2023,2023,ALWAYS_LONG,annualized_session_sharpe,20,2000,2000,DEFINED,20262829,-2.3061909309,-4.2186009593,-0.3496312878,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,accuracy,20,2000,2000,DEFINED,20262829,0.4982300691,0.4904831625,0.5063643336,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,20,2000,2000,DEFINED,20262829,-17.24867,-32.85447,-1.028118,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,20,2000,2000,DEFINED,20262829,-2.2394203031,-4.2439326053,-0.1428410805,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,accuracy,20,2000,2000,DEFINED,20262829,0.4989340123,0.4777564432,0.521964087,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,20,2000,2000,DEFINED,20262829,0.0,0.0,0.0,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20262829,,,,False
WF_2024,2024,ALWAYS_FLAT,accuracy,1,2000,2000,DEFINED,20263810,0.5056737828,0.4830776769,0.5291179751,False
WF_2024,2024,ALWAYS_FLAT,mean_session_net_usd,1,2000,2000,DEFINED,20263810,0.0,0.0,0.0,False
WF_2024,2024,ALWAYS_FLAT,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20263810,,,,False
WF_2024,2024,ALWAYS_LONG,accuracy,1,2000,2000,DEFINED,20263810,0.4943262172,0.4708820249,0.5169223231,False
WF_2024,2024,ALWAYS_LONG,mean_session_net_usd,1,2000,2000,DEFINED,20263810,-31.5671675397,-53.0213095238,-11.5836964286,False
WF_2024,2024,ALWAYS_LONG,annualized_session_sharpe,1,2000,2000,DEFINED,20263810,-3.0135238002,-4.8213010835,-1.1522880364,False
WF_2024,2024,STRATIFIED_RANDOM_ACTION,accuracy,1,2000,2000,DEFINED,20263810,0.5023064845,0.4892877232,0.5151027184,False
WF_2024,2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,1,2000,2000,DEFINED,20263810,-27.8707841865,-46.5189414683,-10.0696438492,False
WF_2024,2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,1,2000,2000,DEFINED,20263810,-2.993556344,-4.6661082475,-1.148046301,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,accuracy,1,2000,2000,DEFINED,20263810,0.5056737828,0.4830776769,0.5291179751,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,1,2000,2000,DEFINED,20263810,0.0,0.0,0.0,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20263810,,,,False
WF_2024,2024,ALWAYS_FLAT,accuracy,5,2000,2000,DEFINED,20263814,0.504387244,0.4815792428,0.5287448196,True
WF_2024,2024,ALWAYS_FLAT,mean_session_net_usd,5,2000,2000,DEFINED,20263814,0.0,0.0,0.0,True
WF_2024,2024,ALWAYS_FLAT,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20263814,,,,True
WF_2024,2024,ALWAYS_LONG,accuracy,5,2000,2000,DEFINED,20263814,0.495612756,0.4712551804,0.5184207572,True
WF_2024,2024,ALWAYS_LONG,mean_session_net_usd,5,2000,2000,DEFINED,20263814,-30.7767073413,-51.8072172619,-12.3108878968,True
WF_2024,2024,ALWAYS_LONG,annualized_session_sharpe,5,2000,2000,DEFINED,20263814,-2.9414633251,-4.7157776027,-1.2520833352,True
WF_2024,2024,STRATIFIED_RANDOM_ACTION,accuracy,5,2000,2000,DEFINED,20263814,0.5032697763,0.4902168585,0.5168487437,True
WF_2024,2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,5,2000,2000,DEFINED,20263814,-26.8184005952,-44.7299503968,-10.2402926587,True
WF_2024,2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,5,2000,2000,DEFINED,20263814,-2.8864431328,-4.5437650141,-1.2286372203,True
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,accuracy,5,2000,2000,DEFINED,20263814,0.504387244,0.4815792428,0.5287448196,True
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,5,2000,2000,DEFINED,20263814,0.0,0.0,0.0,True
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20263814,,,,True
WF_2024,2024,ALWAYS_FLAT,accuracy,20,2000,2000,DEFINED,20263829,0.5061518534,0.4845322037,0.5266230913,False
WF_2024,2024,ALWAYS_FLAT,mean_session_net_usd,20,2000,2000,DEFINED,20263829,0.0,0.0,0.0,False
WF_2024,2024,ALWAYS_FLAT,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20263829,,,,False
WF_2024,2024,ALWAYS_LONG,accuracy,20,2000,2000,DEFINED,20263829,0.4938481466,0.4733769087,0.5154677963,False
WF_2024,2024,ALWAYS_LONG,mean_session_net_usd,20,2000,2000,DEFINED,20263829,-31.6435889286,-47.9010803571,-16.6698878968,False
WF_2024,2024,ALWAYS_LONG,annualized_session_sharpe,20,2000,2000,DEFINED,20263829,-3.1109819207,-4.3448674985,-1.8368710482,False
