nyse_session_date,clock_candidate_rows,nyse_policy_session_rows,eligible_rows,partial_input_rows,degraded_context_rows,early_close_session,first_candidate_time,last_candidate_time,excluded_rows
2019-08-29,22,22,22,0,0,False,2019-08-29 13:45:00+00:00,2019-08-29 19:00:00+00:00,0
2019-08-30,22,22,22,0,0,False,2019-08-30 13:45:00+00:00,2019-08-30 19:00:00+00:00,0
2019-09-02,14,0,0,0,0,False,2019-09-02 13:45:00+00:00,2019-09-02 17:00:00+00:00,14
2019-09-03,22,22,22,0,0,False,2019-09-03 13:45:00+00:00,2019-09-03 19:00:00+00:00,0
2019-09-04,22,22,22,0,0,False,2019-09-04 13:45:00+00:00,2019-09-04 19:00:00+00:00,0
2019-09-05,22,22,22,0,0,False,2019-09-05 13:45:00+00:00,2019-09-05 19:00:00+00:00,0
2019-09-06,22,22,22,0,0,False,2019-09-06 13:45:00+00:00,2019-09-06 19:00:00+00:00,0
2019-09-09,22,22,22,0,0,False,2019-09-09 13:45:00+00:00,2019-09-09 19:00:00+00:00,0
2019-09-10,22,22,22,0,0,False,2019-09-10 13:45:00+00:00,2019-09-10 19:00:00+00:00,0
2019-09-11,22,22,22,0,0,False,2019-09-11 13:45:00+00:00,2019-09-11 19:00:00+00:00,0
2019-09-12,22,22,22,0,0,False,2019-09-12 13:45:00+00:00,2019-09-12 19:00:00+00:00,0
2019-09-13,22,22,22,0,0,False,2019-09-13 13:45:00+00:00,2019-09-13 19:00:00+00:00,0
2019-09-16,22,22,22,0,0,False,2019-09-16 13:45:00+00:00,2019-09-16 19:00:00+00:00,0
2019-09-17,22,22,22,0,0,False,2019-09-17 13:45:00+00:00,2019-09-17 19:00:00+00:00,0
2019-09-18,22,22,22,0,0,False,2019-09-18 13:45:00+00:00,2019-09-18 19:00:00+00:00,0
2019-09-19,22,22,22,0,0,False,2019-09-19 13:45:00+00:00,2019-09-19 19:00:00+00:00,0
2019-09-20,22,22,22,0,0,False,2019-09-20 13:45:00+00:00,2019-09-20 19:00:00+00:00,0
2019-09-23,22,22,22,0,0,False,2019-09-23 13:45:00+00:00,2019-09-23 19:00:00+00:00,0
2019-09-24,22,22,22,0,0,False,2019-09-24 13:45:00+00:00,2019-09-24 19:00:00+00:00,0
2019-09-25,22,22,22,0,0,False,2019-09-25 13:45:00+00:00,2019-09-25 19:00:00+00:00,0
2019-09-26,22,22,22,0,0,False,2019-09-26 13:45:00+00:00,2019-09-26 19:00:00+00:00,0
2019-09-27,22,22,22,0,0,False,2019-09-27 13:45:00+00:00,2019-09-27 19:00:00+00:00,0
2019-09-30,22,22,22,0,0,False,2019-09-30 13:45:00+00:00,2019-09-30 19:00:00+00:00,0
2019-10-01,22,22,22,0,0,False,2019-10-01 13:45:00+00:00,2019-10-01 19:00:00+00:00,0
2019-10-02,22,22,22,0,0,False,2019-10-02 13:45:00+00:00,2019-10-02 19:00:00+00:00,0
2019-10-03,22,22,22,0,0,False,2019-10-03 13:45:00+00:00,2019-10-03 19:00:00+00:00,0
2019-10-04,22,22,22,0,0,False,2019-10-04 13:45:00+00:00,2019-10-04 19:00:00+00:00,0
2019-10-07,22,22,22,0,0,False,2019-10-07 13:45:00+00:00,2019-10-07 19:00:00+00:00,0
2019-10-08,22,22,22,0,0,False,2019-10-08 13:45:00+00:00,2019-10-08 19:00:00+00:00,0
2019-10-09,22,22,22,0,0,False,2019-10-09 13:45:00+00:00,2019-10-09 19:00:00+00:00,0
2019-10-10,22,22,22,0,0,False,2019-10-10 13:45:00+00:00,2019-10-10 19:00:00+00:00,0
2019-10-11,22,22,22,0,0,False,2019-10-11 13:45:00+00:00,2019-10-11 19:00:00+00:00,0
2019-10-14,22,22,22,0,0,False,2019-10-14 13:45:00+00:00,2019-10-14 19:00:00+00:00,0
2019-10-15,22,22,22,0,0,False,2019-10-15 13:45:00+00:00,2019-10-15 19:00:00+00:00,0
2019-10-16,22,22,22,0,0,False,2019-10-16 13:45:00+00:00,2019-10-16 19:00:00+00:00,0
2019-10-17,22,22,22,0,0,False,2019-10-17 13:45:00+00:00,2019-10-17 19:00:00+00:00,0
2019-10-18,22,22,22,0,0,False,2019-10-18 13:45:00+00:00,2019-10-18 19:00:00+00:00,0
2019-10-21,22,22,22,0,0,False,2019-10-21 13:45:00+00:00,2019-10-21 19:00:00+00:00,0
2019-10-22,22,22,22,0,0,False,2019-10-22 13:45:00+00:00,2019-10-22 19:00:00+00:00,0
2019-10-23,22,22,22,0,0,False,2019-10-23 13:45:00+00:00,2019-10-23 19:00:00+00:00,0
2019-10-24,22,22,22,0,0,False,2019-10-24 13:45:00+00:00,2019-10-24 19:00:00+00:00,0
2019-10-25,22,22,22,0,0,False,2019-10-25 13:45:00+00:00,2019-10-25 19:00:00+00:00,0
2019-10-28,22,22,22,0,0,False,2019-10-28 13:45:00+00:00,2019-10-28 19:00:00+00:00,0
2019-10-29,22,22,22,0,0,False,2019-10-29 13:45:00+00:00,2019-10-29 19:00:00+00:00,0
2019-10-30,22,22,22,0,0,False,2019-10-30 13:45:00+00:00,2019-10-30 19:00:00+00:00,0
2019-10-31,22,22,22,0,0,False,2019-10-31 13:45:00+00:00,2019-10-31 19:00:00+00:00,0
2019-11-01,22,22,22,0,0,False,2019-11-01 13:45:00+00:00,2019-11-01 19:00:00+00:00,0
2019-11-04,22,22,22,0,0,False,2019-11-04 14:45:00+00:00,2019-11-04 20:00:00+00:00,0
2019-11-05,22,22,22,0,0,False,2019-11-05 14:45:00+00:00,2019-11-05 20:00:00+00:00,0
2019-11-06,22,22,22,0,0,False,2019-11-06 14:45:00+00:00,2019-11-06 20:00:00+00:00,0
2019-11-07,22,22,22,0,0,False,2019-11-07 14:45:00+00:00,2019-11-07 20:00:00+00:00,0
2019-11-08,22,22,22,0,0,False,2019-11-08 14:45:00+00:00,2019-11-08 20:00:00+00:00,0
2019-11-11,22,22,22,0,0,False,2019-11-11 14:45:00+00:00,2019-11-11 20:00:00+00:00,0
2019-11-12,22,22,22,0,0,False,2019-11-12 14:45:00+00:00,2019-11-12 20:00:00+00:00,0
2019-11-13,22,22,22,0,0,False,2019-11-13 14:45:00+00:00,2019-11-13 20:00:00+00:00,0
2019-11-14,22,22,22,0,0,False,2019-11-14 14:45:00+00:00,2019-11-14 20:00:00+00:00,0
2019-11-15,22,22,22,0,0,False,2019-11-15 14:45:00+00:00,2019-11-15 20:00:00+00:00,0
2019-11-18,22,22,22,0,0,False,2019-11-18 14:45:00+00:00,2019-11-18 20:00:00+00:00,0
2019-11-19,22,22,22,0,0,False,2019-11-19 14:45:00+00:00,2019-11-19 20:00:00+00:00,0
2019-11-20,22,22,22,0,0,False,2019-11-20 14:45:00+00:00,2019-11-20 20:00:00+00:00,0
2019-11-21,22,22,22,0,0,False,2019-11-21 14:45:00+00:00,2019-11-21 20:00:00+00:00,0
2019-11-22,22,22,22,0,0,False,2019-11-22 14:45:00+00:00,2019-11-22 20:00:00+00:00,0
2019-11-25,22,22,21,1,0,False,2019-11-25 14:45:00+00:00,2019-11-25 20:00:00+00:00,1
2019-11-26,22,22,22,0,0,False,2019-11-26 14:45:00+00:00,2019-11-26 20:00:00+00:00,0
2019-11-27,22,22,22,0,0,False,2019-11-27 14:45:00+00:00,2019-11-27 20:00:00+00:00,0
2019-11-28,14,0,0,7,0,False,2019-11-28 14:45:00+00:00,2019-11-28 18:00:00+00:00,14
2019-11-29,15,15,10,0,0,True,2019-11-29 14:45:00+00:00,2019-11-29 18:15:00+00:00,5
2019-12-02,22,22,22,0,0,False,2019-12-02 14:45:00+00:00,2019-12-02 20:00:00+00:00,0
2019-12-03,22,22,22,0,0,False,2019-12-03 14:45:00+00:00,2019-12-03 20:00:00+00:00,0
2019-12-04,22,22,22,0,0,False,2019-12-04 14:45:00+00:00,2019-12-04 20:00:00+00:00,0
2019-12-05,22,22,22,0,0,False,2019-12-05 14:45:00+00:00,2019-12-05 20:00:00+00:00,0
2019-12-06,22,22,22,0,0,False,2019-12-06 14:45:00+00:00,2019-12-06 20:00:00+00:00,0
2019-12-09,22,22,22,0,0,False,2019-12-09 14:45:00+00:00,2019-12-09 20:00:00+00:00,0
2019-12-10,22,22,22,0,0,False,2019-12-10 14:45:00+00:00,2019-12-10 20:00:00+00:00,0
2019-12-11,22,22,22,0,0,False,2019-12-11 14:45:00+00:00,2019-12-11 20:00:00+00:00,0
2019-12-12,22,22,22,0,0,False,2019-12-12 14:45:00+00:00,2019-12-12 20:00:00+00:00,0
2019-12-13,22,22,22,0,0,False,2019-12-13 14:45:00+00:00,2019-12-13 20:00:00+00:00,0
